41415	2017-08-14 20:38:10.052929	RBO
33587	2017-08-14 20:38:25.208437	RBO
42780	2017-08-14 20:38:40.361452	RBO
42843	2017-08-14 22:04:24.806378	RBO
44212	2017-08-14 22:04:39.946545	RBO
42780	2017-08-14 23:32:59.326720	RBO
42779	2017-08-14 23:33:14.480894	RBO
44212	2017-08-15 01:07:07.134114	RBO
44194	2017-08-15 01:07:22.288678	RBO
43000	2017-08-15 02:47:16.033810	RBO
42779	2017-08-15 04:31:55.236829	RBO
44194	2017-08-15 04:32:10.387592	RBO
44395	2017-08-15 04:32:25.551106	RBO
43000	2017-08-15 06:47:25.919423	RBO
44395	2017-08-15 06:47:41.076451	RBO
27841	2017-08-15 14:09:38.051200	RBO
27845	2017-08-15 14:09:53.522948	RBO
27865	2017-08-15 14:10:08.810190	RBO
27866	2017-08-15 14:10:24.271435	RBO
30203	2017-08-15 14:10:39.709413	RBO
30457	2017-08-15 14:10:55.192959	RBO
32196	2017-08-15 14:11:10.647836	RBO
27841	2017-08-15 14:12:47.391973	RBO
27845	2017-08-15 14:13:02.673009	RBO
27865	2017-08-15 14:13:17.964467	RBO
27866	2017-08-15 14:13:33.428014	RBO
30203	2017-08-15 14:13:48.881213	RBO
30457	2017-08-15 14:14:04.333754	RBO
32196	2017-08-15 14:14:19.783164	RBO
32524	2017-08-15 14:56:21.945656	RBO
33905	2017-08-15 15:26:03.546016	RBO
33916	2017-08-15 15:50:16.395370	RBO
36070	2017-08-15 16:24:09.338854	RBO
36075	2017-08-15 16:58:25.393948	RBO
37922	2017-08-15 17:25:54.416000	RBO
38271	2017-08-15 17:57:32.274232	RBO
38275	2017-08-15 18:18:57.799597	RBO
38279	2017-08-15 18:47:51.123888	RBO
39134	2017-08-15 19:12:57.512137	RBO
39940	2017-08-15 19:36:30.963000	RBO
39941	2017-08-15 20:07:39.074379	RBO
41152	2017-08-15 20:29:07.612261	RBO
41156	2017-08-15 20:52:38.895761	RBO
41162	2017-08-15 20:52:54.398446	RBO
41172	2017-08-15 20:53:09.870266	RBO
41176	2017-08-15 20:53:25.317313	RBO
41231	2017-08-15 21:13:33.750811	RBO
41241	2017-08-15 21:31:56.353011	RBO
41247	2017-08-15 21:48:01.293355	RBO
41917	2017-08-15 22:12:52.736519	RBO
42871	2017-08-15 22:35:44.103684	RBO
42894	2017-08-15 23:03:28.276174	RBO
43198	2017-08-15 23:29:57.615017	RBO
43396	2017-08-16 00:00:37.342140	RBO
45537	2017-08-16 00:26:00.761690	RBO
45540	2017-08-16 00:45:35.375658	RBO
45558	2017-08-16 01:11:33.535663	RBO
38239	2017-08-16 11:02:33.104987	RBO
27841	2017-08-16 11:57:11.905854	RBO
27845	2017-08-16 11:57:27.383306	RBO
27865	2017-08-16 11:57:42.683208	RBO
27866	2017-08-16 11:57:58.161086	RBO
30203	2017-08-16 11:58:13.637559	RBO
30457	2017-08-16 11:58:29.113799	RBO
32196	2017-08-16 11:58:44.567396	RBO
32524	2017-08-16 11:59:00.023800	RBO
33905	2017-08-16 11:59:15.339709	RBO
33916	2017-08-16 11:59:30.662587	RBO
36070	2017-08-16 11:59:46.136468	RBO
